Name,logfc,pvals_adj,celltype,fc
CD74,9.192707,0.0,Macrophage Cell,585.16797
TYROBP,11.458313,0.0,Macrophage Cell,2813.8174
SRGN,9.001723,0.0,Macrophage Cell,512.61194
FCER1G,11.071843,0.0,Macrophage Cell,2152.5679
C1QB,10.654235,0.0,Macrophage Cell,1611.5519
C1QC,11.26422,0.0,Macrophage Cell,2459.6208
CD14,8.623222,0.0,Macrophage Cell,394.31982
LAPTM5,10.215796,0.0,Macrophage Cell,1189.2172
CD83,7.8962226,0.0,Macrophage Cell,238.23187
CD163,11.109903,0.0,Macrophage Cell,2210.1113
GPR183,8.721642,0.0,Macrophage Cell,422.15866
HCST,9.478853,0.0,Macrophage Cell,713.5414
CCL3,7.640389,0.0,Macrophage Cell,199.51991
B2M,0.8064103,0.0,Macrophage Cell,1.7488546
CTSS,8.305386,0.0,Macrophage Cell,316.3517
VAMP8,8.126889,0.0,Macrophage Cell,279.5358
LST1,8.891145,0.0,Macrophage Cell,474.78967
CST3,1.5633603,0.0,Macrophage Cell,2.9554143
CSF1R,10.476367,0.0,Macrophage Cell,1424.6255
ITGB2,9.631689,0.0,Macrophage Cell,793.2815
F13A1,9.511277,4.05e-322,Macrophage Cell,729.75946
SGK1,5.8229127,0.0,Macrophage Cell,56.607162
MS4A7,10.655063,3.7113888997e-314,Macrophage Cell,1612.4768
RGS1,9.171057,7.0403293731573e-310,Macrophage Cell,576.452
MAFB,5.8721447,6.142850788418797e-305,Macrophage Cell,58.57222
MS4A4A,10.084848,7.13914244422637e-284,Macrophage Cell,1086.03
PTPRC,8.398421,2.5424566255255717e-259,Macrophage Cell,337.4246
VSIG4,9.9413185,3.390408767312807e-257,Macrophage Cell,983.1846
PLAUR,5.8803234,4.669681517507769e-258,Macrophage Cell,58.905212
C5AR1,9.092179,7.280057167770046e-251,Macrophage Cell,545.7813
HCLS1,7.8233294,9.172767581419552e-249,Macrophage Cell,226.49406
KLF6,3.9339306,4.7400899118797224e-262,Macrophage Cell,15.2837925
MSR1,10.271731,5.868650174361976e-244,Macrophage Cell,1236.2299
REL,5.48309,2.6144823435368134e-245,Macrophage Cell,44.72749
ALOX5AP,8.283869,7.2349010403534334e-239,Macrophage Cell,311.66855
