Name,logfc,pvals_adj,celltype,fc
TYROBP,12.458728,0.0,Macrophage Cell,5629.2534
CD74,7.8744206,0.0,Macrophage Cell,234.65878
SRGN,10.52518,0.0,Macrophage Cell,1473.6516
FCER1G,12.132859,0.0,Macrophage Cell,4491.119
CSF1R,11.868376,0.0,Macrophage Cell,3738.842
RGS1,10.864175,3.764026618685866e-286,Macrophage Cell,1863.9855
CD83,10.328723,4.2945138318522415e-272,Macrophage Cell,1286.0427
VMO1,8.187233,4.9443261054743365e-256,Macrophage Cell,291.47595
B2M,1.9144671,0.0,Macrophage Cell,3.7697453
CD14,9.475532,1.2264662606218129e-223,Macrophage Cell,711.9004
FGL2,8.620938,3.1118452594802545e-205,Macrophage Cell,393.696
C1QB,9.872979,2.9225187159943372e-195,Macrophage Cell,937.69775
MS4A7,11.039484,1.1336805868409204e-189,Macrophage Cell,2104.8242
C1QC,10.251275,1.0352815144165066e-189,Macrophage Cell,1218.8248
APOE,5.9391236,6.281035911675459e-207,Macrophage Cell,61.35562
PRCP,7.8370605,6.07088795571051e-184,Macrophage Cell,228.66003
CCL3,10.052261,2.2402317499254723e-171,Macrophage Cell,1061.7743
STAB1,8.657657,3.926718062428559e-138,Macrophage Cell,403.84467
CD48,7.929906,5.334441505271312e-128,Macrophage Cell,243.85942
ALOX5AP,9.446609,3.6774643942602403e-125,Macrophage Cell,697.7704
RNASE6,9.5269165,4.733234749704394e-122,Macrophage Cell,737.7133
KCTD12,5.4577885,2.0104448842188416e-124,Macrophage Cell,43.949917
NR4A2,4.7459793,5.311787503698075e-123,Macrophage Cell,26.833797
IL1B,9.729503,1.627040359114595e-114,Macrophage Cell,848.93054
PTPRC,7.543109,1.0249675331365232e-113,Macrophage Cell,186.50996
CST3,2.366325,3.1462788831218035e-123,Macrophage Cell,5.1562595
MARCKS,3.8005624,1.7963746455662464e-112,Macrophage Cell,13.93424
GPR183,7.0148325,4.1579509115134184e-104,Macrophage Cell,129.32277
LST1,8.701317,1.3789727209716163e-100,Macrophage Cell,416.253
GPR34,9.150797,4.341725606794751e-100,Macrophage Cell,568.41345
CTSS,5.9328227,7.479392598426342e-96,Macrophage Cell,61.088238
CD163,9.086335,6.159764433392651e-91,Macrophage Cell,543.57495
FOLR2,8.483839,6.045671797872365e-91,Macrophage Cell,358.00577
COTL1,5.1394224,2.008294737673178e-89,Macrophage Cell,35.24685
TNF,9.093794,7.926946208779465e-88,Macrophage Cell,546.39246
PLEK,9.204194,1.1724263998730567e-87,Macrophage Cell,589.84576
CCL2,6.0023427,4.6568834384225976e-86,Macrophage Cell,64.10401
SORL1,4.423884,1.7618638237662443e-86,Macrophage Cell,21.46455
CD53,7.667959,1.6073060694545382e-82,Macrophage Cell,203.36946
LCP1,6.454253,1.835193491882989e-81,Macrophage Cell,87.6847
MMP9,7.3315735,4.077149200449251e-77,Macrophage Cell,161.07329
IER3,3.6715991,3.8545046772401655e-79,Macrophage Cell,12.742701
MRC1,8.966111,1.1030136637739016e-73,Macrophage Cell,500.1133
CXCR4,5.589328,1.3204375583527998e-71,Macrophage Cell,48.14546
ZEB2,4.1863847,6.345589452104978e-72,Macrophage Cell,18.206537
CD52,5.359987,5.540226408575644e-71,Macrophage Cell,41.069252
SLC2A5,5.822196,3.9867793489511415e-70,Macrophage Cell,56.57905
C3AR1,8.964997,1.424050654967582e-67,Macrophage Cell,499.72733
LIPA,4.1872444,1.9178787946171357e-62,Macrophage Cell,18.21739
