Name,logfc,pvals_adj,celltype,fc
TYROBP,12.527773,0.0,Macrophage Cell,5905.211
VMO1,10.801272,0.0,Macrophage Cell,1784.4607
RNASE6,13.462572,0.0,Macrophage Cell,11288.547
CD14,12.175173,0.0,Macrophage Cell,4624.792
MS4A7,14.0759,0.0,Macrophage Cell,17269.037
CD83,11.86839,0.0,Macrophage Cell,3738.8792
CD52,10.03725,0.0,Macrophage Cell,1050.7833
CD74,12.33572,0.0,Macrophage Cell,5169.181
LAPTM5,10.400541,0.0,Macrophage Cell,1351.6832
CTSS,10.159465,0.0,Macrophage Cell,1143.6777
GMFG,8.39247,0.0,Macrophage Cell,336.03564
PRCP,8.966046,0.0,Macrophage Cell,500.09082
C1QC,12.553937,0.0,Macrophage Cell,6013.282
PLEK,12.198667,0.0,Macrophage Cell,4700.7217
CD53,10.251618,0.0,Macrophage Cell,1219.1149
RGS1,9.920012,0.0,Macrophage Cell,968.7714
MARCKS,6.3581295,0.0,Macrophage Cell,82.03283
CASP1,8.619687,1.4393194e-315,Macrophage Cell,393.35474
SLC2A5,8.985459,3.0790942442384906e-292,Macrophage Cell,506.86557
LST1,11.142838,3.430260459429873e-272,Macrophage Cell,2261.1445
SAMSN1,9.59036,3.999092199003563e-271,Macrophage Cell,770.87854
LCP1,8.5726595,7.16417829856748e-274,Macrophage Cell,380.73926
CTSH,7.8785768,6.640304498554093e-270,Macrophage Cell,235.33577
GPR34,11.675844,5.986447781478538e-249,Macrophage Cell,3271.7441
C3,9.5567465,6.173739785067699e-247,Macrophage Cell,753.1255
LPL,8.211032,3.465680787788143e-252,Macrophage Cell,296.32404
FOLR2,11.553311,4.3127482271272884e-238,Macrophage Cell,3005.3376
MSR1,13.22673,1.6126942305844483e-232,Macrophage Cell,9586.113
PYCARD,8.519334,2.4594115104527195e-236,Macrophage Cell,366.92307
FAM49B,7.5005126,2.662905352433123e-234,Macrophage Cell,181.08366
GPR183,7.63393,3.6632934162093335e-234,Macrophage Cell,198.6287
COTL1,6.0536475,9.52252711158117e-259,Macrophage Cell,66.42468
SGK1,5.4709444,5.162549372745747e-274,Macrophage Cell,44.352528
WDR83OS,6.655167,8.959261811703509e-240,Macrophage Cell,100.787094
PTPRC,7.7884226,3.980461197183995e-226,Macrophage Cell,221.07968
APOE,5.3561554,6.223213199188151e-283,Macrophage Cell,40.960327
BST2,5.6077456,2.356729590990432e-255,Macrophage Cell,48.764038
NCF4,9.931331,4.797829356821621e-213,Macrophage Cell,976.4015
IL7R,8.923644,7.731668397541657e-213,Macrophage Cell,485.60657
ITGB2,7.8846006,6.239072746361144e-215,Macrophage Cell,236.32045
RGS10,8.049885,2.0505529328850077e-213,Macrophage Cell,265.00665
RASGEF1B,7.5522733,1.6157875204759628e-205,Macrophage Cell,187.69849
