Name,logfc,pvals_adj,celltype,fc
CTSS,12.726566,1.0926043673262044e-256,Macrophage Cell,6777.6353
TYROBP,12.645182,1.2390516540324807e-250,Macrophage Cell,6405.883
FCER1G,12.272382,1.6428694209276173e-247,Macrophage Cell,4947.1494
LAPTM5,11.857855,2.8882501565439896e-232,Macrophage Cell,3711.6755
CSF1R,11.787227,1.2841099487434557e-190,Macrophage Cell,3534.3438
C1QC,12.8439865,7.070798050817456e-187,Macrophage Cell,7352.3335
C1QB,12.125349,3.090761711641289e-186,Macrophage Cell,4467.8003
CD14,10.001467,1.9024650526197887e-184,Macrophage Cell,1025.0416
LCP1,10.90184,3.3148527852955758e-164,Macrophage Cell,1913.2905
SRGN,9.168923,1.4214442855192004e-159,Macrophage Cell,575.6002
RGS10,7.612118,4.125355934090571e-167,Macrophage Cell,195.64818
SPI1,11.84527,2.3843955544416853e-153,Macrophage Cell,3679.4392
CTSC,6.6377444,1.6294649020652046e-174,Macrophage Cell,99.57726
PLD4,11.960773,4.4471423300708747e-141,Macrophage Cell,3986.131
CD74,10.141691,1.2506521254399714e-140,Macrophage Cell,1129.6743
CORO1A,9.965242,3.086575505415848e-140,Macrophage Cell,999.62445
CX3CR1,11.7198715,8.613332692678183e-138,Macrophage Cell,3373.1284
UNC93B1,7.946824,1.3535777252095068e-136,Macrophage Cell,246.73595
CD86,11.695482,8.474562669705114e-130,Macrophage Cell,3316.5837
CCRL2,9.357361,3.43113388227196e-131,Macrophage Cell,655.9131
GATM,10.47917,1.773871144701437e-129,Macrophage Cell,1427.396
B2M,3.3120096,3.2478906541805934e-176,Macrophage Cell,9.931485
ALOX5AP,11.091819,1.2806727650751908e-123,Macrophage Cell,2182.5798
COTL1,6.1577573,8.439429153014282e-134,Macrophage Cell,71.3953
CCL3,11.036916,8.555291951212078e-123,Macrophage Cell,2101.0806
TREM2,11.563236,1.7965747241713673e-121,Macrophage Cell,3026.084
CD83,10.461236,1.0520915161628577e-114,Macrophage Cell,1409.7621
RGS1,10.475926,6.10038827855805e-114,Macrophage Cell,1424.1906
MRC1,11.834836,6.3512119568600825e-112,Macrophage Cell,3652.924
PTPRC,9.655632,5.3123270775659104e-108,Macrophage Cell,806.55664
MS4A7,11.376172,2.49092445088982e-106,Macrophage Cell,2658.0862
LST1,7.904701,3.544505185314402e-102,Macrophage Cell,239.63606
IL1B,10.299589,2.8854011896994826e-93,Macrophage Cell,1260.3329
GMFG,8.971311,2.6630051040744562e-93,Macrophage Cell,501.91895
